headline,content,response,star
A required stop!,"What is a trip to Key West without a stop at Sloppy Joes?  The food is just ok bar food, and the drinks are just overpriced drinks, but you can't beat the entertainment, staff, and atmosphere!",NA,4.5
FUN!,We had appetizers here.  Food and service were both very good.  There was a band playing and they were awesome!  Would definitely like to go back to Sloppy Joe's!,NA,4
Sloppy Joe's,I had to go to Sloppy Joe's after hearing that this was the bar Earnest Hemmingway went to. The drinks were great as well as the food. I had a great time there. It was my last day in the keys and I made it...More,NA,4.5
Fun as Usual,It’s been several years since we’ve been here. Always enjoy the place. Of course we had to get new t-shirts. Also met some nice people from our home stat and other areas. Everyone was friendly. Service was great.,NA,4.5
COUPLES TRIP,Went down first week of March.  Great place for eating and entertainment.  This was our second time eating there and the food has always been excellent.  Love the no frills feeling of the place.  Fast service with friendly people.  Will return.,NA,4.5
A must experience,A very touristy attraction that everyone should experience at least once.  Atmsphere is lively and the drinks were better than any other place visited.,NA,4.5
Great start to our Key West vacation,"We arrived at our hotel earlier in the day and decided to find someplace memorable to satisfy our appetites.  After walking for a while, we came upon Sloppy Joe’s Bar, a legendary establishment on Duval St.  Karen had the fish and chips and I got...More",NA,4.5
Must visit place in Key West,Sloppy Joe's is probably one  of the most visited bars on Duvall Street. I really enjoy the music and the place is always packed. People in here tend to be very friendly and maybe that is because most of them are drinking heartily. Always a...More,NA,4
A Key West Original,"You can’t go to Duval Street without a stop at sloppy Joe’s Bar.  Live bands, good drinks and friendly staff make it a  ‘One of a kind ‘ place to visit.
 They have food  and   Sloppy Joe’s  merchandise too !",NA,4.5
Fun night at the bar,"We only went in for drinks, not food. The place was very busy and fun. They had some really good live bands playing. Drinks were reasonably priced, bartenders were very friendly. This bar is in a great location on Duval St.",NA,3
"What happens in Sloppy Joes...well, good thing there were no cell phone cameras a while ago...","So the ORIGINAL location of Sloppy Joe's is around the corner.  What to do, of course, but to enjoy them both !",NA,5
Very loud!,We had lunch there one afternoon. It was very noisy ... you can’t have a conversation. The service started good and we received our food and drinks in a timely manner however it went downhill from there. Our server NEVER check on us again! We...More,NA,4.5
Minnesota Nice,The main bar was PACKED so we slid next door to a small eating spot that they have connected to the main bar.  We could hear the music but still be able to hear ourselves talk....had some apps and a beer.....all good!!,NA,4
This is the bar to go!!!!!!,"We arrived in Key West on a cruise and there were two things I wanted to do.   One was go to the southernness most point and two go to bars.    Well, after arriving at 7:30 and walking to the southernness most point and back the...More",NA,4.5
Has to visit,We had to stop in for a beer to say we were here. Great history and an unique place to see. Beer was a beer.,NA,4.5
Great place for drinks and some fun,"Went just for drinks and to see what this place was all about - fun atmosphere, party crowd, good music and service was very good.   Didn't disappoint ... can't comment on food, but would definitely go back next time I'm in the area for a...More",NA,4.5
Must visit,"First stop on our trip to key west.  Great music, drinks and we had the iconic sandwich.  Did not disappoint!",NA,4.5
Food Is Second,"This is a woderful bar to go and drink whatever beverages you want to consume. Also, it is a fun type of place. If you are going here just for the food, you should not gp there. I was pleasantly surprised that the sloppy joe...More",NA,4.5
Noisy & crowded,"People come here to buy tee shirts to prove they’ve visited Hemingway‘a favorite watering hole. Food is not great, alcohol flows freely and you can’t have a conversation.",NA,4
Fun night w/ dinner,We stopped in to Sloppy Joes on our first night in Key West....there happened to be a group on stage who sounded great and had a fun comedy side too.  It is a first come first serve for seating but we got lucky and found...More,NA,4.5
A Must,"The bar was crowded, noisy, and the service was mediocre at best. How can you go to Key West and not go to Sloppy Joe's?  We would not go again when there are so many wonderful places to eat and imbibe in Key West!",NA,3
Sloppy Joe's,Crowded and noisy and a lot of fun!!!  We had a good time hanging with the people looking at other people.,NA,5
Sloppy Joes is a must,"Sloppy Joes is a must when visiting Key West. The service was very fast even on a very crowded day. The food was prepared perfect and it had great entertainment, definitely will visit again!",NA,4.5
Must-do bar experience ,"You’ve come to Key West, so you have to come here, it’s a “must-do” fantastic bar experience, entertaining live music, food is reasonable but there is far better food all around.",NA,4
You HAVE TO Experience Sloppy Joe's,Anyone who visits Key West HAS TO stop in to experience Sloppy Joe's.  You will have a completely different experience at different times of day. They open at 9 in the morning and close at 4 in the morning! They have something for everyone and...More,NA,4.5
Huge place with a lot going on,"Wander in for real treat (not just the drinks).  What  a fabulous updated, yet still time capsule.  I love the old & new mix going on in here, but especially love the charm & character of the entire place.",NA,4.5
Always our favorite!,"Just returned from Key West...always an awesome time...and some of our highlights are at Sloppy Joe's. Food is okay but the entertainment both day and night is incredible! Great bands, great crowds, great energy! Love this place!",NA,4.5
Killer margaritas,"We stop in at Sloppys all the time, great live music and uncle lou makes the best margaritas in town!",NA,4.5
Expected more,"No big deal, the Original Sloppy Joe was just that....Ground beef in a tangy tomato sauce served on a bun.  Key West has great ambiance for sure.  The trio playing that evening were good.  A little insulting as if they were locals playing for these...More",NA,4.5
Fun with Family ,We stop in after a long walk around town. The bar looked fun everyone looked like they were having fun. The drinks and appetizers we ordered were great. I had a wonderful time there Friendly staff. I would recommend this bar.,NA,4
Obligatory,We were told we had to do this. We had appetizers and drinks. Nothing too special. Historical significance and great ambiance.  Service was good.,NA,4.5
Stopped for pictures ,"The history draws you in, but didnt stop to eat. I never realized that sloppy joe sandwiches originated here.",NA,3
One More Off My Bucket List,"I always wanted to have a sloppy Joe sandwich at Sloppy Joe's Bar, so while in Key West last month, it's one of the first places I went.  And I wasn't disappointed.  It was so crowded at lunch we had to sit in the bar...More",NA,5
"Top Place to Visit, Great Bar and Music","Went to Sloppy Joe’s several times during our stay. Our server Lou was friendly and efficient getting our drinks. Very lively with lots of friendly travelers and good music. Basic bar menu, food was OK. You can’t leave Key West without experiencing this famous spot!",NA,4.5
Fun bar with live music,This is a fun bar on Duvall street. Long Key West establishment with links to Hemingway.  Very much a hang out for active military as well.  Multiple drinks and types of beer on the menu (check out the Rita andRum runner).,NA,4
A must see and eat,"Not much to say exept wow, great food and awesome service , beers cold and very good , the sloppy joes if you dont try you will miss not eating the sandwich!,, hmmmmmmmm 
Live bands are great too",NA,4.5
Great atmosphere at Sloppy Joe's Bar,We spent a pleasant afternoon in Sloppy Joe's listening to live music and enjoying drinks and a snack. The service was very personable and the drinks and food were also very good.  We arrived mid afternoon and had no trouble finding a seat but the...More,NA,4.5
Come & Sit Awhile to Enjoy the Music,"The key to enjoying Sloppy Joe's is to join others at a table. It's hard to find an empty table but our experience is that most guests are welcome to meeting new friends.
The Music is always great & available. The food & drinks are...More",NA,4.5
Daytime Visit,"There was nowhere to sit, so we just looked around the place for a bit and then left.  Ummm - it's an interesting place with stuff hanging all over the ceilings & walls.  It's a busy place, for sure, but I'm afraid I can't speak...More",NA,4.5
not a locals bar,Service was slow as the tourist place was filled with people.  I don't recommend the fish sandwich?  It was something preformed and pre grill marked.  I expected something better being on an island.  The onion rings were good and the adult beverage was also.,NA,4.5
Great,Very good drinks. Was nice to sit down and have a sloppy Joe. Would recommend going if your in key west.,NA,4
Joe's tap room porch,Great place for a cigar and people watching! The nachos with Sloppy Joe were outstanding! Lance took good care of us!,NA,4.5
Iconic venue in an iconic street,"Sloppy Joe's is an institution on Key West. We've visited it last time we were here in 2004, and had no doubt to repeat it this year.
So, just after the Mallory's sunset we headed here. Huge selection of beers and terrific live music with...More",NA,3
Legendary,"Cold beer, good live music and time famous sloppy joe’s burger and fries. A must while visiting Key West.",NA,5
Icon,We had to bring the kids just to say we did it. The food was terrible but the family loved the live music and atmosphere.,NA,4.5
Yearly Visit to The Florida Keys and Sloppy Joes.,"One of the most beautiful and historical areas of the Great State of Florida. Pristine living reefs, Gold laden ship wrecks, tragic slave trading ship wrecks, explorers stop over, Ship wrecking Industry, Flagler Railroad, Tourism, Presidents hideaways, Naval Ship Port and Fly Navy Base as...More",NA,4
Lunch,"Good service, at lunch. Food was
 good, not great. Service was good. Music was good! Very short wait!",NA,4.5
Not worth all the hype but super impressed how they honor their employees!,"Obviously everyone wants to go to the iconic sloppy joes! Tables are hard to come by! Once you win the lottery and find one, service is quick and amazing! Food was what I would expect for a place that doesn’t need to be known for...More",NA,4.5
Great Place,"Great place for drinks, food and music.  Several in our group had the sloppy joes and they said they were very good.  Others had the steak sandwich which was huge and very good.  Of the two, we all thought the steak sandwich was the best...More",NA,4.5
Great place to listen to music,"This is a great place to eat, drink, and listen to some music. Very crowded but an institution in Key West.",NA,4.5
Fun place,"We just came here for drinks. Fun, high energy place. Great entertainment.Lots of fun.Super crowded but worth the wait.",NA,4.5
A MUST Visit/Stop in Key West!,"Sloppy Joe's on Duval Street is a MUST stop/visit when in Key West.  Everyone visiting Key West stops by Joe's; you must, too.  They offer SO many tasty, specialty drinks, and fabulous food, tasty  offerings.  There is always great entertainment, and their shirt shop is...More",NA,4
One of those places you must stop in,"This place is aways crowded. Live music - not just at night, but for you day drinkers as well. Take a good look around, because there is a lot to soak in...",NA,4.5
Very popular,Very nice place to see very big tourist stop. Food was average place is always very crowded. Food was priced on the higher side. That being said I would make the stop just to say I was their.,NA,3
Great atmosphere good music,"Stopped in on a recent trip to Key west. Margaretta drink was fabulous. Had fish tacos,Philly cheese steak sandwich excellent. Music was great and they played cat Stevens, Neil Young and many others. Even honoured the Vets in the room. Nice",NA,5
Best bar in Key West,Sloppy Joe’s lives up-to the hype because it is the best bar in Key West hands down. Live music all day long coupled with good food and bartenders and a historic vibe that should not be missed. Going back for day 3 tonight and I’m...More,NA,4.5
Great atmosphere,"Music was great and entertaining! Drinks were good and friendly bartender! Even though it was busy , there was seating.",NA,4
Great Sevice,"Great Service!
Had a Bartender named Jordan. What a fine young man, had a great smile and personality. He was very busy but still had time to have to be friendly. Mark and Family",NA,4.5
"Fun place, great music",Stopped by for cocktails and a sloppy joe sandwich after a tour of Hemingway's House where we heard about his history of drinking here.  Brilliant live music and friendly service.  We were lucky enough to get a table without waiting although it was very crowded....More,NA,4.5
It’s a hot spot so it’s busy,"It’s a hot spot so it’s busy and occasionally hard to find a seat.  I’ve never eaten the food there so I’m unsure about that.  The drinks are fine, smaller in portion size and moderately priced.   The live music is nice.",NA,4.5
Fun place great music ,This is a must because it’s a fun bar to hang out at.  The music gets people singing and dancing. Great place to have a good time. Stop in for drinks at the bar.,NA,4.5
"Fun bar, good music",Had drinks and appetizers.  Bar was full. Pretty fun place for a Sunday night. Would definitely go back again.,NA,4.5
A must stop while in Key West!,"Atmospher was wonderful... Live music, good food and friendly staff!  What more could you ask for!  The musician on stage was very entertaining and was very involved with the crowd. 

Only detriment was you need to find your own table, you had to be quick...More",NA,4
Live music,Great place to take a break and relax.  Great staff and good drinks and food! Sing along or just listen to great live music.,NA,4.5
Fun place,"It's crazy, crowded and fun. There was a great band, and we were fortunate to get a seat, and had fast service. Drinks were good and so was their chili.",NA,3
Happy Hour!,We had a great time at Sloppy Joe’s!  It was packed.  The live music was great.  The pina colada’s were great!  We had cheese sticks and conch fritters which were good!  It was a fun afternoon!,NA,5
We had a blast. Came out the,We had a blast. Came out the cruise ship found it easily knew a bit of the history music was great our server Justin made the trip worthwhile can’t wait to come back!,NA,4.5
Soak up that atmosphere ,"Difficult to convey how busy this place is at 12 mid day. Piano player memorabilia on the walls what an interesting place.

Good pulled pork sandwich and fish tacos  and very efficient service.",NA,4
Sloppy Joe's Bar,"Wanted to eat & have a drink. Not possible. The inattentive bartender was talking to someone & never even acknowledged we were at the bar. We were there about 10 minutes. Also, it was so loud we had to shout to each other. Would never...More",NA,4.5
Sloppy joes,What a fun atmosphere. We went in for lunch. The food was excellent. Our server was so much fun. She spend a lot of time with us telling us about Key West. And there was live music and it was wonderful.,NA,4.5
Fun bar,"Great band playing 
Good service
Enjoyed watching crazy people dancing in the isles
Sloppy joe was good",NA,4.5
Do not miss,"Fun, fun, fun!!! Good food, great drinks and entertainment all in one. We went for dinner, loved it and went back for lunch next day before we left. Very reasonable prices.",NA,4.5
