headline,content,response,star
Delicious Food and Engaging Staff,"Recommended by locals (staff at Michter's).  Burger, seafood burger, elotes, homemade ice cream - all delicious!  In addition to providing excellent service, the staff was very friendly and offered plenty of suggestions for things to do in Louisville.",NA,5
Excellent!!,Mussels Meunière - excellent. Blue cheese beer pancetta mussels - Excellent. Bacon Breakfast Burger - excellent. C.E.O. Burger was very good. Local Burger was excellent. Southern Bell burger was excellent. Fingerling potatoes & house fries were excellent. Seafood sliders were excellent. Ground beef Taquitos were...More,NA,4.5
Love this place.,Who would have thought that a menu centered on mussels and burgers would work? It works amazingly! Eat here. You’re welcome.,NA,3.5
Better Than Before,"I had eaten here once before but I was not really crazy about what I ordered.

I was in town for work again and I thought I would try it again but I decided to order a different hamburger.

I had one with bacon, egg...More",NA,4.5
At last! Mussels as good as in the famous Dutch village of Philippine!,"At last! After 11 months traveling thru the US, visiting 20+ states and 50+ restaurants: the place where you can eat mussels as tasty as in my home region of the famous Dutch mussels village called Philippine! You need to get there and taste them...More",NA,4
Wonderful Dinner in Louisville,"Had a wonderful dinner at Mussel and Burger Bar Downtown Louisville.  We had Mac and cheese some of the best ever), mussels greek style (very good, and lots of flavors.  Next time however I’d probably get more routine version as I prefer the tase of...More",NA,4
Burgers for lunch,"Overall excellent experience. It was hard to choose which burger, they all sounded good. Our awesome waiter, Zachary, suggested the CEO burger for it's oven roasted tomatoes which were heavenly. It came with steak fries that was essentially a giant potato quartered and roasted. My...More",NA,5
Good Choice for Lunch ,We were in town visiting and stopped into M&B for lunch. We had a two year old with us and weren’t sure they accommodated kids. The host couldn’t have been more gracious and seated us even though they were very busy. We ordered something for...More,NA,4.5
Absolutely Wonderful,I’ve never tasted a burger so fresh and delicious.  The wedge salad was quite good as well!  We can’t wait to go back and try the truffle fries,NA,4.5
Something For All,"This restaurant is casual, and has delicious food to please meat eaters as well as vegetarians and vegans. Gluten free options and decent cocktails,too! Lots of TVs for those who want to catch a game. I loved their veggie burger served with no bun by...More",NA,4.5
So good!,Stopped by the Mussel & Burger Bar for lunch after a visit to the 21C Hotel Museum.  Decided to just have appetizers this trip.   Had the mussels with fresh baked bread - both the Meunière and Curry Cream mussels were delicious.  Also tried the Dates...More,NA,5
Late night dining done right,"We arrived at 9pm and sat at the bar. Eric greeted us and asked what would make us happy. He guided us to some excellent Bourbon selections. We then ordered appetizers and dinner. We expected boring, generic  bar food, but what was delivered was an...More",NA,4.5
Great Burgers,"My wife and I ate dinner there on  Saturday night. Arrived around 6:20 and had about an hour wait. We didn’t mind because they have a cool atmosphere. After we sat down we had to wait for a while after we ordered our food, however...More",NA,3.5
Late family lunch,The atmosphere is cozy. Great for family or a date. The food was exceptional. We had varying burgers including the seafood burger which was absolutely amazing!,"Hello! Thanks for taking the time to leave us a review. We value your feedback and are so glad to hear that you are a fan! We can't wait for you to dine with us again, hopefully soon:)",4.5
Post Christmas short family trip,Found the restaurant on TripAdvisor we decided to go after we toured the Louisville slugger factory which was great. Went into the restaurant sat down did not appear too busy. People were friendly. We ordered food and it took a very long time for burgers...More,"Hello, Thank you for taking the time to leave us a review. We appreciate your patience and apologize for the longer then usual wait time. We will use your feedback to make improvements going into the new year!",4
"Good food, moderate price ","Appetizer portion of mussel is plenty! (1/2) lb).  Enjoyed the Greek Mediterranean sauce.  Others had the mussels in white sauce and the burger sliders.   
Good food and bar.  Convenient in downtown, walked from hotel.More",Hello Alison! Thanks for leaving us a 5 star review. We are so glad to hear that you are a fan of our food! Given that you enjoy mussels I suggest giving out Curry Cream Mussels a shot next time you are in. They are...More,4
We tried the burgers and wings,"Six family members out for lunch on a Friday. One worked in downtown Louisville, so we wanted to dine somewhere close to his work place. Three of us had to feed meters to park. Hamburgers were a good size, but more enormous due to the...More","Hi Patricia, We are so glad you all decided to dine with us! We are happy to hear that you had a fantastic experience and we look forward to you dining with us again in the future!",5
Good food!,"We had a great meal at this place, the mussels were the best part so definitely try a few varieties. The reason for the four stars is because some of our burgers were not very good, in theory they sound good but at the end...More","Hello Elisa! We are glad to hear that you are a fan of our various mussel dishes. While we wish our burgers wow'd you we certainly understand everyone has different tastes! However, if you decide to be a bit more adventurous with our burgers on...More",4.5
"WOW, WOW and WOW","There were so many tastes enjoyed during our visit.  One of the bonuses of dining with a group of seven is that you get to share and try everyone's choices. 
CASEY took real good care of us.  I know it can't be easy answering all...More","Hello! Thank you so much for taking the time to share your experience with us, we are happy to hear we wow'd you! I will be sure to pass your review along to Casey as we love to hear when our employees hit the mark....More",4.5
Consistently impresses...,"I’ve been here numerous times for drinks and dinner. They serve carefully crafted cocktails, a variety of nice appetizers, and enjoyable entrees. It can be a bit crowded and slower service pre-event at the Yum Center or Arts Center, but it is a convenient location...More","Hello , Thank you so much for taking the time to leave us a review we truly value you as a loyal customer! We appreciate your patience as we work our hardest to accommodate all of our guests during our busier times! We hope to...More",4.5
A Great Dining Experience,"My wife and I dined at Mussel & Burger Bar Downtown on Wednesday, 11/20, after a long day of traveling from NY to KY.  Everything about our visit was exactly what we were hoping for.  First, tt was a quick walk from our hotel, Homewood...More","Hello! We are so glad that you chose to stop in and dine with us! Thank you for taking the time to share your experience with us, and we look forward to you dining with us again soon:)",5
"Solid burger, great service",Stopped in with a colleague for a bite to eat before our flight. Server was great. Specialty Burger and sweet potato fries were very good.,Hello! Thanks for choosing to dine with us at Mussel & Burger Bar! We truly appreciate your feedback and can't wait for you to dine with us again soon!,4.5
Burgers and mussels are INCREDIBLE,We met up with a cousin who lives local. He said we had to eat dinner here before our flight back to the east coast. Ordered Kentucky mules at the bar while we waited a quick 10 min to be seated. Highly recommend sharing mussels...More,Hello! Thanks for taking the time to leave us a review. We truly value your feedback and look forward to welcoming you back to dine with us very soon:),3.5
Best. Food. Ever. ,"Okay, first of all, our server Tatiana was ABSOLUTELY AMAZING.  She was super helpful and offered lots of first hand recommendations. We had old fashions to start and they were suburb. Listen- order the dates as an appetizer. YOU WILL NOT REGRET IT. If I...More",Hello! Thank you so much for taking the time to share your experience with us. We will be sure to pass along your positive words to Tatiana! We agree with your recommendations and can't wait for you to dine with us again soon:),4.5
Awesome burger,Probably the best burger...the local burger and pozole mussels I've ever had.  I didn't  even med mustard.,"We are so glad to hear that you are a fan! We love making it to the top of peoples ""Best Burger"" list! Thank you for sharing your experience with us, we hope to welcome you back soon!:)",4
Late-Night Dinner after a Long Drive,"We decided to eat at Mussel & Burger Bar because of the reviews on TripAdvisor and the fact that it was within easy walking distance from our hotel.
Casey was our server. She took care of us as if we were old friends. I'm not...More",Hello! Thanks for taking the time to leave us a review. We are so glad to hear that you are a fan and we can't wait to welcome you back soon:),4
Great affordable food in a great setting.,"My husband and I popped in for lunch before going to the Slugger museum and I'm glad we did. The short rib nachos were out of this world! And huge, despite being on the appetizer menu. I had it as my entree and couldn't finish...More","Hello, Thank you for taking the time to leave us a review. We truly appreciate your feedback and can't wait for you to dine with us again!",5
Good burger,"I stopped here because the restaurant I was going to was closed. Glad I did. The burger and fries were great. The atmosphere was what you'd expect. And the staff was friendly, if not attentive. Walking distance from all the museums around downtown.",Hello! We are glad to hear that you decided to stop in and give us a shot! Thanks for your feedback and we hope to welcome you back soon!,4.5
Amazing Place To Eat,"I was in town for a college visit and was looking for someplace within walking distance from our hotel. This place was recommended by our front desk clerk. Let me say, this was the best recommendation ever. We enjoyed the service and the food so...More",Hello! Thank you so much for taking the time to share your experience with us! We love to hear when we've hit the mark and we are thrilled to hear that you are a fan of MBB! We hope that you will choose to dine...More,4.5
Great Mussels,"I had the chorizo burger for my main meal and it was ok. I like chorizo but it was a little to much. The others in my group said their burgers were great though, I guess I just picked the wrong burger. That being said...More",Hello! Thanks for the love! We truly appreciate your feedback and can't wait to welcome you back soon:),4.5
"Stumbled into, not disappointed!","We visited this restaurant twice on our 4 day trip to Louisville. Fantastic burgers, very knowledgeable and friendly staff. Sweet potato fries were perfectly cooked and the burgers were delicious. Great bar and bourbon selection to choose from",Hello! We are so glad that you decided to dine with us during your trip:) We appreciate your feedback and hope that you will dine with us again soon.,5
Exceeded my expectations,"When you think of a restaurant that’s title starts out with “Burgers”, you might slight it a bit.  Then add “Mussels” and you’re like “what?”.   This place has a very cool bar vibe so don’t be deceived by its name.  We just finished a wonderful...More",Hello! Thank you so much for choosing to dine with us at Mussel & Burger Bar! We truly appreciate your feedback as we love to know when we've hit the mark! Your recommendation is appreciate and we hope that you will choose to dine with...More,4.5
Delicious food/great atmosphere,Had a delicious dinner here. Our server was delightful and very knowledgeable. Mussels and calamari were delicious! Churrasco steak was tender and portions were large. Highly recommend.,Hello! Thank you for your recommendation! We truly appreciate your feedback and can't wait for you to dine with us again soon:),3.5
Mussels? Yeah! Burgers? Oh Yeah!!,"My wife and I had dinner here on a night of our 12 year anniversary trip to Kentucky.  The service was excellent, the mussels have choices of sauces, and there are numerous burgers to choose from.  Everything we tasted was very flavorful, cooked perfectly and...More",Hello! Thank you for choosing to dine with us at Mussel & Burger Bar! We truly appreciate your feedback and appreciate your recommendation. We look forward to welcoming you back soon!,4.5
Best burger ever!!,We love burgers and are always on a quest for our favorite burger. We are from out of town and were staying nearby to go to a wedding that evening.  Read about the good food and had lunch here.  Got there around 2 and had...More,Hello! Thank you for taking the time to leave us a review! We are so glad to hear that you are a fan of MBB and can't wait for you to dine with us again soon:),4
"Nice vibe, food and drinks for a good price","We ate a lighter dinner here on 10/13.  We each had 2 Manhattans which were well made, the Korean BBQ Wings, and we split a Caesar salad (which was huge) and split the M&BB Grilled chicken sandwich.  The grilled chicken sandwich was really delicious.  It...More",Hello! Thank you for taking the time to leave us a review. We truly appreciate your feedback and can't wait for you to dine with us again soon:),4
